0.018427f,-0.066313f,-0.007568f,
0.017958f,-0.074169f,-0.008301f,
0.017486f,-0.082073f,-0.009036f,
0.017015f,-0.089983f,-0.009758f,
0.016552f,-0.097739f,-0.010461f,
0.016083f,-0.105596f,-0.011169f,
0.015614f,-0.113453f,-0.011889f,
0.015184f,-0.122255f,-0.012753f,
0.014936f,-0.126334f,-0.013221f,
0.014297f,-0.131268f,-0.013892f,
0.012875f,-0.135444f,-0.014516f,
0.000071f,-0.135916f,-0.030596f,
0.000071f,-0.135916f,-0.030596f,
0.000071f,-0.135916f,-0.030596f,
0.000071f,-0.135916f,-0.030596f,
0.000076f,-0.005686f,-0.027634f,
0.000076f,-0.005686f,-0.027634f,
0.000076f,0.000156f,-0.02506f,
0.000076f,0.000156f,-0.02506f,
0.000076f,0.006027f,-0.024375f,
0.000076f,0.006027f,-0.024375f,
0.000076f,-0.002899f,-0.026125f,
0.000076f,-0.002899f,-0.026125f,
0.000074f,-0.048243f,-0.03434f,
0.000074f,-0.048243f,-0.03434f,
0.000074f,-0.042487f,-0.034158f,
0.000074f,-0.042487f,-0.034158f,
0.000073f,-0.080593f,-0.034428f,
0.000073f,-0.080593f,-0.034428f,
0.000073f,-0.071573f,-0.034529f,
0.000073f,-0.071573f,-0.034529f,
0.000072f,-0.110913f,-0.033113f,
0.000072f,-0.110913f,-0.033113f,
0.000072f,-0.103011f,-0.03359f,
0.000072f,-0.103011f,-0.03359f,
0.000075f,-0.032034f,-0.033745f,
0.000075f,-0.032034f,-0.033745f,
0.000074f,-0.055988f,-0.034495f,
0.000074f,-0.055988f,-0.034495f,
0.000074f,-0.063766f,-0.034562f,
0.000074f,-0.063766f,-0.034562f,
0.000073f,-0.088169f,-0.034216f,
0.000073f,-0.088169f,-0.034216f,
0.000072f,-0.095124f,-0.03396f,
0.000072f,-0.095124f,-0.03396f,
0.020784f,-0.018242f,-0.021065f,
0.020499f,-0.025883f,-0.02167f,
0.019868f,-0.03415f,-0.02264f,
0.020623f,-0.043005f,-0.020625f,
0.020623f,-0.043005f,-0.020625f,
0.018284f,-0.072794f,-0.024052f,
0.018284f,-0.072794f,-0.024052f,
0.017285f,-0.081311f,-0.025367f,
0.016883f,-0.088551f,-0.025602f,
0.016412f,-0.0961f,-0.025897f,
0.015954f,-0.104013f,-0.026088f,
0.01538f,-0.112245f,-0.026352f,
0.01474f,-0.120812f,-0.02668f,
0.014577f,-0.124304f,-0.026739f,
0.014161f,-0.12982f,-0.026575f,
0.026496f,0.010702f,-0.009035f,
0.026496f,0.010702f,-0.009035f,
0.025447f,0.003098f,-0.00798f,
0.025447f,0.003098f,-0.00798f,
0.025119f,-0.002164f,-0.007807f,
0.025119f,-0.002164f,-0.007807f,
0.024703f,-0.009514f,-0.007951f,
0.024703f,-0.009514f,-0.007951f,
0.024228f,-0.017895f,-0.008383f,
0.024228f,-0.017895f,-0.008383f,
0.023703f,-0.026437f,-0.008938f,
0.023703f,-0.026437f,-0.008938f,
0.023186f,-0.034126f,-0.0095f,
0.023186f,-0.034126f,-0.0095f,
0.022551f,-0.043533f,-0.010221f,
0.022551f,-0.043533f,-0.010221f,
0.022142f,-0.04959f,-0.010723f,
0.022142f,-0.04959f,-0.010723f,
0.02161f,-0.057477f,-0.01138f,
0.02161f,-0.057477f,-0.01138f,
0.021036f,-0.065962f,-0.012082f,
0.021036f,-0.065962f,-0.012082f,
0.020478f,-0.074228f,-0.012767f,
0.020478f,-0.074228f,-0.012767f,
0.019991f,-0.081461f,-0.013366f,
0.019991f,-0.081461f,-0.013366f,
0.01949f,-0.088991f,-0.013992f,
0.01949f,-0.088991f,-0.013992f,
0.018987f,-0.096585f,-0.01462f,
0.018987f,-0.096585f,-0.01462f,
0.018456f,-0.104659f,-0.015288f,
0.018456f,-0.104659f,-0.015288f,
0.017909f,-0.113072f,-0.015986f,
0.017909f,-0.113072f,-0.015986f,
0.017376f,-0.12156f,-0.016689f,
0.017376f,-0.12156f,-0.016689f,
0.017143f,-0.125616f,-0.017024f,
0.017143f,-0.125616f,-0.017024f,
0.01637f,-0.131144f,-0.017477f,
0.01637f,-0.131144f,-0.017477f,
0.014702f,-0.135543f,-0.017839f,
0.014702f,-0.135543f,-0.017839f,
0.005336f,-0.05918f,-0.00373f,
0.005336f,-0.05918f,-0.00373f,
0.003795f,-0.062874f,-0.003973f,
0.003795f,-0.062874f,-0.003973f,
0.000073f,-0.053975f,-0.003013f,
0.000073f,-0.053975f,-0.003013f,
0.001435f,-0.054155f,-0.002999f,
0.001435f,-0.054155f,-0.002999f,
0.003795f,-0.055499f,-0.003232f,
0.003795f,-0.055499f,-0.003232f,
0.004631f,-0.061791f,-0.003926f,
0.004631f,-0.061791f,-0.003926f,
0.001435f,-0.06423f,-0.004007f,
0.001435f,-0.06423f,-0.004007f,
0.000073f,-0.064406f,-0.004041f,
0.000073f,-0.064406f,-0.004041f,
0.004631f,-0.056576f,-0.003401f,
0.004631f,-0.056576f,-0.003401f,
0.022942f,-0.037729f,-0.009761f,
0.022942f,-0.037729f,-0.009761f,
0.01957f,-0.039854f,-0.022875f,
0.000074f,-0.038974f,-0.034032f,
0.000074f,-0.038974f,-0.034032f,
0.026527f,0.014213f,-0.007289f,
0.026527f,0.014213f,-0.007289f,
0.025311f,0.014545f,-0.006394f,
0.025311f,0.014545f,-0.006394f,
0.000076f,0.016476f,-0.000795f,
0.000076f,0.016476f,-0.000795f,
0.000076f,0.016476f,-0.000795f,
0.000076f,0.016476f,-0.000795f,
0.006844f,0.01637f,-0.001252f,
0.006844f,0.01637f,-0.001252f,
0.003623f,0.016438f,-0.000905f,
0.003623f,0.016438f,-0.000905f,
0.015812f,0.015733f,-0.002938f,
0.015812f,0.015733f,-0.002938f,
0.010242f,0.016169f,-0.001681f,
0.010242f,0.016169f,-0.001681f,
0.020643f,0.015202f,-0.004476f,
0.020643f,0.015202f,-0.004476f,
0.018196f,0.015492f,-0.003636f,
0.018196f,0.015492f,-0.003636f,
0.027191f,0.013342f,-0.009812f,
0.027191f,0.013342f,-0.009812f,
0.027191f,0.013342f,-0.009812f,
0.027191f,0.013342f,-0.009812f,
0.000076f,0.008262f,-0.024587f,
0.000076f,0.008262f,-0.024587f,
0.000076f,0.008262f,-0.024587f,
0.020809f,-0.011253f,-0.003752f,
0.017729f,-0.005881f,-0.002637f,
0.013356f,-0.001684f,-0.001506f,
0.022003f,-0.015525f,-0.004451f,
0.023509f,-0.014128f,-0.005537f,
0.024485f,-0.013414f,-0.008132f,
0.024485f,-0.013414f,-0.008132f,
0.020774f,-0.014386f,-0.020787f,
0.022326f,-0.022165f,-0.005151f,
0.023319f,-0.022504f,-0.006225f,
0.023963f,-0.022343f,-0.008663f,
0.023963f,-0.022343f,-0.008663f,
0.02069f,-0.02209f,-0.021356f,
0.021571f,-0.032788f,-0.00559f,
0.025856f,0.00974f,-0.012197f,
0.024849f,0.002735f,-0.011497f,
0.024677f,-0.002258f,-0.011248f,
0.024321f,-0.009795f,-0.011477f,
0.024124f,-0.014007f,-0.011716f,
0.023929f,-0.018138f,-0.011955f,
0.023721f,-0.02227f,-0.012183f,
0.023493f,-0.02632f,-0.012383f,
0.023017f,-0.034028f,-0.012895f,
0.022793f,-0.037592f,-0.013098f,
0.022478f,-0.043389f,-0.012726f,
0.022095f,-0.04931f,-0.012215f,
0.021652f,-0.057334f,-0.01282f,
0.021065f,-0.066131f,-0.013533f,
0.02053f,-0.074097f,-0.014988f,
0.020068f,-0.081367f,-0.015452f,
0.019582f,-0.088912f,-0.016059f,
0.019096f,-0.096493f,-0.016662f,
0.018584f,-0.10451f,-0.01723f,
0.018064f,-0.112901f,-0.017848f,
0.017645f,-0.121277f,-0.018499f,
0.017393f,-0.125439f,-0.01882f,
0.016672f,-0.130865f,-0.019227f,
0.014984f,-0.135434f,-0.019555f,
0.025222f,0.01119f,-0.016024f,
0.025222f,0.01119f,-0.016024f,
0.024721f,0.009012f,-0.015254f,
0.023713f,0.002155f,-0.014571f,
0.023504f,-0.002425f,-0.014587f,
0.023397f,-0.010112f,-0.014905f,
0.023289f,-0.014198f,-0.015184f,
0.023159f,-0.018204f,-0.015422f,
0.023004f,-0.022211f,-0.015614f,
0.022828f,-0.026139f,-0.015758f,
0.022375f,-0.034011f,-0.016237f,
0.021964f,-0.041517f,-0.016638f,
0.022208f,-0.043708f,-0.014996f,
0.021937f,-0.049253f,-0.01497f,
0.021937f,-0.049253f,-0.01497f,
0.021474f,-0.057002f,-0.015457f,
0.021474f,-0.057002f,-0.015457f,
0.020858f,-0.066848f,-0.01628f,
0.020858f,-0.066848f,-0.01628f,
0.02036f,-0.07372f,-0.017309f,
0.019943f,-0.081141f,-0.01754f,
0.019462f,-0.088782f,-0.018117f,
0.01898f,-0.096389f,-0.018698f,
0.018492f,-0.104333f,-0.019165f,
0.017971f,-0.112735f,-0.019711f,
0.017555f,-0.121118f,-0.020319f,
0.017318f,-0.125253f,-0.020613f,
0.016661f,-0.130616f,-0.020978f,
0.015091f,-0.135222f,-0.021238f,
0.01191f,0.008284f,-0.024496f,
0.01191f,0.008284f,-0.024496f,
0.011728f,0.00608f,-0.024095f,
0.011532f,-0.00022f,-0.0243f,
0.011149f,-0.003926f,-0.025562f,
0.011206f,-0.008781f,-0.027587f,
0.013577f,-0.014118f,-0.028216f,
0.013544f,-0.018164f,-0.028997f,
0.013367f,-0.021413f,-0.029443f,
0.012877f,-0.024366f,-0.029931f,
0.007849f,-0.030666f,-0.032469f,
0.015964f,-0.041997f,-0.02788f,
0.015991f,-0.049433f,-0.027913f,
0.015991f,-0.049433f,-0.027913f,
0.015472f,-0.056346f,-0.028455f,
0.015472f,-0.056346f,-0.028455f,
