0.546669f,-0.117768f,0.829026f,
0.557175f,-0.146812f,0.817314f,
0.567335f,-0.217533f,0.794236f,
0.551715f,-0.386075f,0.739295f,
0.000017f,-0.237984f,-0.971269f,
0.000017f,-0.237984f,-0.971269f,
0.000017f,-0.237984f,-0.971269f,
0.000017f,-0.237984f,-0.971269f,
0.000031f,0.104249f,-0.994551f,
0.000031f,0.104249f,-0.994551f,
0.000036f,0.260309f,-0.965526f,
0.000036f,0.260309f,-0.965526f,
0.000026f,-0.02119f,-0.999775f,
0.000026f,-0.02119f,-0.999775f,
0.00004f,0.383895f,-0.923377f,
0.00004f,0.383895f,-0.923377f,
0.000028f,0.024688f,-0.999695f,
0.000028f,0.024688f,-0.999695f,
0.000028f,0.034803f,-0.999394f,
0.000028f,0.034803f,-0.999394f,
0.000026f,-0.019791f,-0.999804f,
0.000026f,-0.019791f,-0.999804f,
0.000027f,-0.005034f,-0.999987f,
0.000027f,-0.005034f,-0.999987f,
0.000025f,-0.06072f,-0.998155f,
0.000025f,-0.06072f,-0.998155f,
0.000025f,-0.052012f,-0.998646f,
0.000025f,-0.052012f,-0.998646f,
0.000039f,0.364032f,-0.931387f,
0.000039f,0.364032f,-0.931387f,
0.000028f,0.01431f,-0.999898f,
0.000028f,0.01431f,-0.999898f,
0.000027f,0.000835f,-1.0f,
0.000027f,0.000835f,-1.0f,
0.000026f,-0.032655f,-0.999467f,
0.000026f,-0.032655f,-0.999467f,
0.000025f,-0.041773f,-0.999127f,
0.000025f,-0.041773f,-0.999127f,
0.871549f,0.02483f,-0.489679f,
0.879709f,-0.009999f,-0.475408f,
0.872397f,-0.017582f,-0.488482f,
0.929151f,-0.007774f,-0.369617f,
0.163542f,-0.945186f,-0.282627f,
0.882872f,-0.022806f,-0.46906f,
0.345209f,0.936741f,0.057857f,
0.861787f,-0.029871f,-0.506391f,
0.859282f,-0.031125f,-0.510555f,
0.848553f,-0.035272f,-0.527934f,
0.836908f,-0.037745f,-0.546041f,
0.814399f,-0.037844f,-0.57907f,
0.7859f,-0.031966f,-0.617526f,
0.77142f,-0.043106f,-0.634864f,
0.751433f,-0.1225f,-0.648338f,
0.967204f,-0.222922f,-0.121742f,
0.298296f,0.140462f,0.944082f,
