-0.010755f,-0.010187f,0.020558f,
-0.009468f,-0.007959f,0.020558f,
-0.008182f,-0.005731f,0.020558f,
-0.006895f,-0.003503f,0.020558f,
-0.005609f,-0.001275f,0.020557f,
-0.004322f,0.000953f,0.020557f,
-0.003036f,0.003181f,0.020557f,
-0.001345f,0.004157f,0.020557f,
-1.9187e-7f,0.004157f,0.020557f,
0.001345f,0.004158f,0.020557f,
-0.020674f,-0.004689f,0.020559f,
-0.018846f,-0.006307f,0.020559f,
-0.017075f,-0.008123f,0.020558f,
-0.015378f,-0.010136f,0.020558f,
-0.013787f,-0.012317f,0.020558f,
-0.012339f,-0.014634f,0.020558f,
-0.011061f,-0.017045f,0.020557f,
-0.009972f,-0.019506f,0.020557f,
-0.009085f,-0.021972f,0.020557f,
-0.008402f,-0.0244f,0.020557f,
-0.007918f,-0.026779f,0.020557f,
-0.006112f,-0.025652f,0.020557f,
-0.005141f,-0.025229f,0.020557f,
-0.004148f,-0.024867f,0.020556f,
-0.003135f,-0.024565f,0.020556f,
-0.002103f,-0.024342f,0.020556f,
3.6938e-6f,-0.024161f,0.020556f,
0.002127f,-0.024321f,0.020556f,
0.003169f,-0.02454f,0.020556f,
0.004184f,-0.024855f,0.020556f,
0.005172f,-0.025248f,0.020556f,
0.006134f,-0.025703f,0.020555f,
0.00791f,-0.02688f,0.020555f,
0.008386f,-0.024494f,0.020555f,
0.009064f,-0.022056f,0.020555f,
0.009948f,-0.019579f,0.020555f,
0.011035f,-0.017106f,0.020555f,
0.012313f,-0.014682f,0.020555f,
0.013764f,-0.012353f,0.020555f,
0.015359f,-0.010159f,0.020555f,
0.017063f,-0.008135f,0.020555f,
0.01884f,-0.006309f,0.020555f,
0.020676f,-0.004682f,0.020555f,
0.018796f,-0.00368f,0.020555f,
0.017944f,-0.00305f,0.020555f,
0.017133f,-0.002371f,0.020555f,
0.016366f,-0.001644f,0.020555f,
0.015657f,-0.000861f,0.020555f,
0.014449f,0.000869f,0.020556f,
0.013525f,0.002792f,0.020556f,
0.013194f,0.003804f,0.020556f,
0.01296f,0.004841f,0.020556f,
0.012806f,0.005892f,0.020556f,
0.012719f,0.006952f,0.020556f,
0.012851f,0.009074f,0.020556f,
0.011332f,0.008538f,0.020556f,
0.009778f,0.008074f,0.020556f,
0.008194f,0.007682f,0.020556f,
0.006585f,0.00736f,0.020557f,
0.004956f,0.007111f,0.020557f,
0.003312f,0.006932f,0.020557f,
0.001658f,0.006825f,0.020557f,
-1.035e-6f,0.006789f,0.020557f,
-0.00166f,0.006825f,0.020557f,
-0.003314f,0.006931f,0.020558f,
-0.004958f,0.007109f,0.020558f,
-0.006587f,0.007358f,0.020558f,
-0.008196f,0.007679f,0.020558f,
-0.009781f,0.008071f,0.020558f,
-0.011335f,0.008535f,0.020558f,
-0.012854f,0.00907f,0.020559f,
-0.012721f,0.006948f,0.020558f,
-0.012808f,0.005889f,0.020558f,
-0.012961f,0.004837f,0.020558f,
-0.013195f,0.0038f,0.020558f,
-0.013526f,0.002788f,0.020558f,
-0.01445f,0.000864f,0.020558f,
-0.015657f,-0.000866f,0.020558f,
-0.016365f,-0.001649f,0.020559f,
-0.017132f,-0.002376f,0.020559f,
-0.017943f,-0.003056f,0.020559f,
-0.018795f,-0.003686f,0.020559f,
0.003035f,0.003182f,0.020557f,
0.004323f,0.000954f,0.020557f,
0.00561f,-0.001273f,0.020556f,
0.006897f,-0.003501f,0.020556f,
0.008184f,-0.005729f,0.020556f,
0.009471f,-0.007956f,0.020556f,
0.010759f,-0.010184f,0.020556f,
0.001391f,0.004157f,0.020557f,
0.001694f,0.004126f,0.020557f,
0.002321f,0.003896f,0.020557f,
0.003007f,0.00323f,0.020557f,
-0.008224f,-0.015376f,0.020557f,
-0.008695f,-0.015181f,0.020557f,
-0.009099f,-0.014871f,0.020557f,
0.010759f,-0.012136f,0.020555f,
0.010311f,-0.012912f,0.020555f,
0.009863f,-0.013688f,0.020556f,
0.009415f,-0.014464f,0.020556f,
0.010781f,-0.010224f,0.020556f,
0.010906f,-0.010503f,0.020556f,
0.01102f,-0.01116f,0.020555f,
0.010786f,-0.012087f,0.020555f,
0.010781f,-0.012096f,0.020555f,
-0.002725f,0.003585f,0.020557f,
-0.002321f,0.003896f,0.020557f,
-0.00185f,0.004091f,0.020557f,
-0.010986f,-0.011503f,0.020558f,
-0.010987f,-0.010824f,0.020558f,
0.009391f,-0.014503f,0.020556f,
0.009213f,-0.014751f,0.020556f,
0.0087f,-0.015178f,0.020556f,
0.00778f,-0.015439f,0.020556f,
0.00777f,-0.01544f,0.020556f,
-0.00188f,0.005476f,0.020557f,
0.013158f,-0.008903f,0.020555f,
0.0094f,-0.016094f,0.020555f,
0.001882f,-0.016095f,0.020556f,
-0.001877f,-0.016096f,0.020557f,
-0.005636f,-0.016096f,0.020557f,
